endpoint,state,zipcode
familyMedicareR3,Alaska,99546
familyMedicareR3,Alaska,99689
familyMedicareR3,Alaska,99840
familyMedicareR3,Alaska,99929
familyMedicareR3,Alaska,99801
familyMedicareR3,Alaska,99918
familyMedicareR3,Alaska,99901
familyMedicareR3,Alaska,99554
familyMedicareR3,Alaska,99731
familyMedicareR3,Alaska,99704
familyMedicareR3,Alaska,99555
familyMedicareR3,Alaska,99727
familyMedicareR3,Alaska,99830
familyMedicareR3,Alaska,99545
familyMedicareR3,Alaska,99623
familyMedicareR3,Alaska,99721
familyMedicareR3,Alaska,99556
familyMedicareR3,Alaska,99820
familyMedicareR3,Alaska,99835
familyMedicareR3,Alaska,99558
familyMedicareR3,Alaska,99701
familyMedicareR3,Alaska,99548
familyMedicareR3,Alaska,99613
familyMedicareR3,Alaska,99827
familyMedicareR3,Alaska,99566
familyMedicareR3,Alaska,99553
familyMedicareR3,Alaska,99550
familyMedicareR3,Alaska,99659
familyMedicareR3,Alaska,99501
familyMedicareR3,Alabama,35111
familyMedicareR3,Alabama,35072
familyMedicareR3,Alabama,36029
familyMedicareR3,Alabama,35082
familyMedicareR3,Alabama,35034
familyMedicareR3,Alabama,36061
familyMedicareR3,Alabama,36005
familyMedicareR3,Alabama,36015
familyMedicareR3,Alabama,35441
familyMedicareR3,Alabama,36904
familyMedicareR3,Alabama,35010
familyMedicareR3,Alabama,35443
familyMedicareR3,Alabama,35016
familyMedicareR3,Alabama,35014
familyMedicareR3,Alabama,36261
familyMedicareR3,Alabama,35618
familyMedicareR3,Alabama,35610
familyMedicareR3,Alabama,35542
familyMedicareR3,Alabama,35038
familyMedicareR3,Alabama,35013
familyMedicareR3,Alabama,35959
familyMedicareR3,Alabama,36003
familyMedicareR3,Alabama,35611
familyMedicareR3,Alabama,36435
familyMedicareR3,Alabama,35459
familyMedicareR3,Alabama,35540
familyMedicareR3,Alabama,36854
familyMedicareR3,Alabama,36801
familyMedicareR3,Alabama,36013
familyMedicareR3,Alabama,35019
familyMedicareR3,Alabama,35045
familyMedicareR3,Alabama,35961
familyMedicareR3,Alabama,36401
familyMedicareR3,Alabama,36032
familyMedicareR3,Alabama,36756
familyMedicareR3,Alabama,35901
familyMedicareR3,Alabama,36020
familyMedicareR3,Alabama,36507
familyMedicareR3,Alabama,36301
familyMedicareR3,Alabama,35741
familyMedicareR3,Alabama,35616
familyMedicareR3,Alabama,35740
familyMedicareR3,Alabama,36425
familyMedicareR3,Alabama,36009
familyMedicareR3,Alabama,35543
familyMedicareR3,Alabama,36201
familyMedicareR3,Alabama,36263
familyMedicareR3,Alabama,36426
familyMedicareR3,Alabama,35544
familyMedicareR3,Alabama,36311
familyMedicareR3,Alabama,35601
familyMedicareR3,Alabama,36851
familyMedicareR3,Alabama,35571
familyMedicareR3,Alabama,36732
familyMedicareR3,Alabama,36513
familyMedicareR3,Alabama,36436
familyMedicareR3,Alabama,36313
familyMedicareR3,Alabama,36016
familyMedicareR3,Alabama,36505
familyMedicareR3,Alabama,36323
familyMedicareR3,Alabama,35442
familyMedicareR3,Alabama,36701
familyMedicareR3,Alabama,35004
familyMedicareR3,Alabama,35007
familyMedicareR3,Alabama,36310
familyMedicareR3,Alabama,35005
familyMedicareR3,Alabama,36028
familyMedicareR3,Arkansas,72354
familyMedicareR3,Arkansas,72820
familyMedicareR3,Arkansas,72801
familyMedicareR3,Arkansas,72002
familyMedicareR3,Arkansas,71724
familyMedicareR3,Arkansas,71740
familyMedicareR3,Arkansas,71630
familyMedicareR3,Arkansas,71929
familyMedicareR3,Arkansas,72301
familyMedicareR3,Arkansas,71932
familyMedicareR3,Arkansas,72413
familyMedicareR3,Arkansas,72017
familyMedicareR3,Arkansas,71935
familyMedicareR3,Arkansas,71820
familyMedicareR3,Arkansas,71601
familyMedicareR3,Arkansas,72611
familyMedicareR3,Arkansas,72830
familyMedicareR3,Arkansas,72324
familyMedicareR3,Arkansas,71638
familyMedicareR3,Arkansas,72051
familyMedicareR3,Arkansas,72310
familyMedicareR3,Arkansas,72636
familyMedicareR3,Arkansas,72007
familyMedicareR3,Arkansas,71922
