endpoint,state,zipcode
individualMedicareR3,Alaska,99546
individualMedicareR3,Alaska,99689
individualMedicareR3,Alaska,99840
individualMedicareR3,Alaska,99929
individualMedicareR3,Alaska,99801
individualMedicareR3,Alaska,99918
individualMedicareR3,Alaska,99901
individualMedicareR3,Alaska,99554
individualMedicareR3,Alaska,99731
individualMedicareR3,Alaska,99704
individualMedicareR3,Alaska,99555
individualMedicareR3,Alaska,99727
individualMedicareR3,Alaska,99830
individualMedicareR3,Alaska,99545
individualMedicareR3,Alaska,99623
individualMedicareR3,Alaska,99721
individualMedicareR3,Alaska,99556
individualMedicareR3,Alaska,99820
individualMedicareR3,Alaska,99835
individualMedicareR3,Alaska,99558
individualMedicareR3,Alaska,99701
individualMedicareR3,Alaska,99548
individualMedicareR3,Alaska,99613
individualMedicareR3,Alaska,99827
individualMedicareR3,Alaska,99566
individualMedicareR3,Alaska,99553
individualMedicareR3,Alaska,99550
individualMedicareR3,Alaska,99659
individualMedicareR3,Alaska,99501
individualMedicareR3,Alabama,35111
individualMedicareR3,Alabama,35072
individualMedicareR3,Alabama,36029
individualMedicareR3,Alabama,35082
individualMedicareR3,Alabama,35034
individualMedicareR3,Alabama,36061
individualMedicareR3,Alabama,36005
individualMedicareR3,Alabama,36015
individualMedicareR3,Alabama,35441
individualMedicareR3,Alabama,36904
individualMedicareR3,Alabama,35010
individualMedicareR3,Alabama,35443
individualMedicareR3,Alabama,35016
individualMedicareR3,Alabama,35014
individualMedicareR3,Alabama,36261
individualMedicareR3,Alabama,35618
individualMedicareR3,Alabama,35610
individualMedicareR3,Alabama,35542
individualMedicareR3,Alabama,35038
individualMedicareR3,Alabama,35013
individualMedicareR3,Alabama,35959
individualMedicareR3,Alabama,36003
individualMedicareR3,Alabama,35611
individualMedicareR3,Alabama,36435
individualMedicareR3,Alabama,35459
individualMedicareR3,Alabama,35540
individualMedicareR3,Alabama,36854
individualMedicareR3,Alabama,36801
individualMedicareR3,Alabama,36013
individualMedicareR3,Alabama,35019
individualMedicareR3,Alabama,35045
individualMedicareR3,Alabama,35961
individualMedicareR3,Alabama,36401
individualMedicareR3,Alabama,36032
individualMedicareR3,Alabama,36756
individualMedicareR3,Alabama,35901
