endpoint,state,zipcode
individualPreMedicareR3,Alaska,99546
individualPreMedicareR3,Alaska,99689
individualPreMedicareR3,Alaska,99840
individualPreMedicareR3,Alaska,99929
individualPreMedicareR3,Alaska,99801
individualPreMedicareR3,Alaska,99918
individualPreMedicareR3,Alaska,99901
individualPreMedicareR3,Alaska,99554
individualPreMedicareR3,Alaska,99731
individualPreMedicareR3,Alaska,99704
individualPreMedicareR3,Alaska,99555
individualPreMedicareR3,Alaska,99727
individualPreMedicareR3,Alaska,99830
individualPreMedicareR3,Alaska,99545
individualPreMedicareR3,Alaska,99623
individualPreMedicareR3,Alaska,99721
individualPreMedicareR3,Alaska,99556
individualPreMedicareR3,Alaska,99820
individualPreMedicareR3,Alaska,99835
individualPreMedicareR3,Alaska,99558
individualPreMedicareR3,Alaska,99701
individualPreMedicareR3,Alaska,99548
individualPreMedicareR3,Alaska,99613
individualPreMedicareR3,Alaska,99827
individualPreMedicareR3,Alaska,99566
individualPreMedicareR3,Alaska,99553
individualPreMedicareR3,Alaska,99550
individualPreMedicareR3,Alaska,99659
individualPreMedicareR3,Alaska,99501
individualPreMedicareR3,Alabama,35111
individualPreMedicareR3,Alabama,35072
individualPreMedicareR3,Alabama,36029
individualPreMedicareR3,Alabama,35082
individualPreMedicareR3,Alabama,35034
individualPreMedicareR3,Alabama,36061
individualPreMedicareR3,Alabama,36005
individualPreMedicareR3,Alabama,36015
individualPreMedicareR3,Alabama,35441
individualPreMedicareR3,Alabama,36904
individualPreMedicareR3,Alabama,35010
individualPreMedicareR3,Alabama,35443
individualPreMedicareR3,Alabama,35016
individualPreMedicareR3,Alabama,35014
individualPreMedicareR3,Alabama,36261
individualPreMedicareR3,Alabama,35618
individualPreMedicareR3,Alabama,35610
individualPreMedicareR3,Alabama,35542
individualPreMedicareR3,Alabama,35038
individualPreMedicareR3,Alabama,35013
individualPreMedicareR3,Alabama,35959
individualPreMedicareR3,Alabama,36003
individualPreMedicareR3,Alabama,35611
individualPreMedicareR3,Alabama,36435
individualPreMedicareR3,Alabama,35459
individualPreMedicareR3,Alabama,35540
individualPreMedicareR3,Alabama,36854
individualPreMedicareR3,Alabama,36801
individualPreMedicareR3,Alabama,36013
individualPreMedicareR3,Alabama,35019
individualPreMedicareR3,Alabama,35045
individualPreMedicareR3,Alabama,35961
individualPreMedicareR3,Alabama,36401
individualPreMedicareR3,Alabama,36032
individualPreMedicareR3,Alabama,36756
individualPreMedicareR3,Alabama,35901
individualPreMedicareR3,Alabama,36020
individualPreMedicareR3,Alabama,36507
individualPreMedicareR3,Alabama,36301
individualPreMedicareR3,Alabama,35741
individualPreMedicareR3,Alabama,35616
individualPreMedicareR3,Alabama,35740
individualPreMedicareR3,Alabama,36425
individualPreMedicareR3,Alabama,36009
individualPreMedicareR3,Alabama,35543
individualPreMedicareR3,Alabama,36201
individualPreMedicareR3,Alabama,36263
individualPreMedicareR3,Alabama,36426
individualPreMedicareR3,Alabama,35544
individualPreMedicareR3,Alabama,36311
individualPreMedicareR3,Alabama,35601
individualPreMedicareR3,Alabama,36851
individualPreMedicareR3,Alabama,35571
individualPreMedicareR3,Alabama,36732
individualPreMedicareR3,Alabama,36513
individualPreMedicareR3,Alabama,36436
individualPreMedicareR3,Alabama,36313
individualPreMedicareR3,Alabama,36016
individualPreMedicareR3,Alabama,36505
individualPreMedicareR3,Alabama,36323
individualPreMedicareR3,Alabama,35442
individualPreMedicareR3,Alabama,36701
individualPreMedicareR3,Alabama,35004
individualPreMedicareR3,Alabama,35007
individualPreMedicareR3,Alabama,36310
individualPreMedicareR3,Alabama,35005
individualPreMedicareR3,Alabama,36028
individualPreMedicareR3,Arkansas,72354
individualPreMedicareR3,Arkansas,72820
individualPreMedicareR3,Arkansas,72801
individualPreMedicareR3,Arkansas,72002
individualPreMedicareR3,Arkansas,71724
individualPreMedicareR3,Arkansas,71740
individualPreMedicareR3,Arkansas,71630
individualPreMedicareR3,Arkansas,71929
individualPreMedicareR3,Arkansas,72301
individualPreMedicareR3,Arkansas,71932
individualPreMedicareR3,Arkansas,72413
individualPreMedicareR3,Arkansas,72017
individualPreMedicareR3,Arkansas,71935
individualPreMedicareR3,Arkansas,71820
individualPreMedicareR3,Arkansas,71601
individualPreMedicareR3,Arkansas,72611
individualPreMedicareR3,Arkansas,72830
individualPreMedicareR3,Arkansas,72324
individualPreMedicareR3,Arkansas,71638
individualPreMedicareR3,Arkansas,72051
individualPreMedicareR3,Arkansas,72310
individualPreMedicareR3,Arkansas,72636
