endpoint,state,zipcode
familyPreMedicareR3,Alaska,99546
familyPreMedicareR3,Alaska,99689
familyPreMedicareR3,Alaska,99840
familyPreMedicareR3,Alaska,99929
familyPreMedicareR3,Alaska,99801
familyPreMedicareR3,Alaska,99918
familyPreMedicareR3,Alaska,99901
familyPreMedicareR3,Alaska,99554
familyPreMedicareR3,Alaska,99731
familyPreMedicareR3,Alaska,99704
familyPreMedicareR3,Alaska,99555
familyPreMedicareR3,Alaska,99727
familyPreMedicareR3,Alaska,99830
familyPreMedicareR3,Alaska,99545
familyPreMedicareR3,Alaska,99623
familyPreMedicareR3,Alaska,99721
familyPreMedicareR3,Alaska,99556
familyPreMedicareR3,Alaska,99820
familyPreMedicareR3,Alaska,99835
familyPreMedicareR3,Alaska,99558
familyPreMedicareR3,Alaska,99701
familyPreMedicareR3,Alaska,99548
familyPreMedicareR3,Alaska,99613
familyPreMedicareR3,Alaska,99827
familyPreMedicareR3,Alaska,99566
familyPreMedicareR3,Alaska,99553
familyPreMedicareR3,Alaska,99550
familyPreMedicareR3,Alaska,99659
familyPreMedicareR3,Alaska,99501
familyPreMedicareR3,Alabama,35111
familyPreMedicareR3,Alabama,35072
familyPreMedicareR3,Alabama,36029
familyPreMedicareR3,Alabama,35082
familyPreMedicareR3,Alabama,35034
familyPreMedicareR3,Alabama,36061
familyPreMedicareR3,Alabama,36005
familyPreMedicareR3,Alabama,36015
familyPreMedicareR3,Alabama,35441
familyPreMedicareR3,Alabama,36904
familyPreMedicareR3,Alabama,35010
familyPreMedicareR3,Alabama,35443
familyPreMedicareR3,Alabama,35016
familyPreMedicareR3,Alabama,35014
familyPreMedicareR3,Alabama,36261
familyPreMedicareR3,Alabama,35618
familyPreMedicareR3,Alabama,35610
familyPreMedicareR3,Alabama,35542
familyPreMedicareR3,Alabama,35038
familyPreMedicareR3,Alabama,35013
familyPreMedicareR3,Alabama,35959
familyPreMedicareR3,Alabama,36003
familyPreMedicareR3,Alabama,35611
familyPreMedicareR3,Alabama,36435
familyPreMedicareR3,Alabama,35459
familyPreMedicareR3,Alabama,35540
familyPreMedicareR3,Alabama,36854
familyPreMedicareR3,Alabama,36801
familyPreMedicareR3,Alabama,36013
familyPreMedicareR3,Alabama,35019
familyPreMedicareR3,Alabama,35045
familyPreMedicareR3,Alabama,35961
familyPreMedicareR3,Alabama,36401
familyPreMedicareR3,Alabama,36032
familyPreMedicareR3,Alabama,36756
familyPreMedicareR3,Alabama,35901
familyPreMedicareR3,Alabama,36020
familyPreMedicareR3,Alabama,36507
familyPreMedicareR3,Alabama,36301
familyPreMedicareR3,Alabama,35741
familyPreMedicareR3,Alabama,35616
familyPreMedicareR3,Alabama,35740
familyPreMedicareR3,Alabama,36425
familyPreMedicareR3,Alabama,36009
familyPreMedicareR3,Alabama,35543
familyPreMedicareR3,Alabama,36201
familyPreMedicareR3,Alabama,36263
familyPreMedicareR3,Alabama,36426
familyPreMedicareR3,Alabama,35544
familyPreMedicareR3,Alabama,36311
familyPreMedicareR3,Alabama,35601
familyPreMedicareR3,Alabama,36851
familyPreMedicareR3,Alabama,35571
familyPreMedicareR3,Alabama,36732
familyPreMedicareR3,Alabama,36513
familyPreMedicareR3,Alabama,36436
familyPreMedicareR3,Alabama,36313
familyPreMedicareR3,Alabama,36016
familyPreMedicareR3,Alabama,36505
familyPreMedicareR3,Alabama,36323
familyPreMedicareR3,Alabama,35442
familyPreMedicareR3,Alabama,36701
familyPreMedicareR3,Alabama,35004
familyPreMedicareR3,Alabama,35007
familyPreMedicareR3,Alabama,36310
familyPreMedicareR3,Alabama,35005
familyPreMedicareR3,Alabama,36028
familyPreMedicareR3,Arkansas,72354
familyPreMedicareR3,Arkansas,72820
familyPreMedicareR3,Arkansas,72801
familyPreMedicareR3,Arkansas,72002
familyPreMedicareR3,Arkansas,71724
familyPreMedicareR3,Arkansas,71740
familyPreMedicareR3,Arkansas,71630
familyPreMedicareR3,Arkansas,71929
familyPreMedicareR3,Arkansas,72301
familyPreMedicareR3,Arkansas,71932
familyPreMedicareR3,Arkansas,72413
familyPreMedicareR3,Arkansas,72017
familyPreMedicareR3,Arkansas,71935
familyPreMedicareR3,Arkansas,71820
familyPreMedicareR3,Arkansas,71601
familyPreMedicareR3,Arkansas,72611
familyPreMedicareR3,Arkansas,72830
familyPreMedicareR3,Arkansas,72324
familyPreMedicareR3,Arkansas,71638
familyPreMedicareR3,Arkansas,72051
familyPreMedicareR3,Arkansas,72310
familyPreMedicareR3,Arkansas,72636
familyPreMedicareR3,Arkansas,72007
familyPreMedicareR3,Arkansas,71922
familyPreMedicareR3,Arkansas,72531
familyPreMedicareR3,Arkansas,72013
familyPreMedicareR3,Arkansas,72053
familyPreMedicareR3,Arkansas,72322
familyPreMedicareR3,Arkansas,72010
familyPreMedicareR3,Arkansas,72422
familyPreMedicareR3,Arkansas,72032
familyPreMedicareR3,Arkansas,72001
familyPreMedicareR3,Arkansas,72921
familyPreMedicareR3,Arkansas,72826
familyPreMedicareR3,Arkansas,72410
familyPreMedicareR3,Arkansas,71744
familyPreMedicareR3,Arkansas,72312
familyPreMedicareR3,Arkansas,72482
familyPreMedicareR3,Arkansas,72401
familyPreMedicareR3,Arkansas,72512
familyPreMedicareR3,Arkansas,71826
familyPreMedicareR3,Arkansas,72412
familyPreMedicareR3,Arkansas,72901
familyPreMedicareR3,Arkansas,72021
familyPreMedicareR3,Arkansas,72165
familyPreMedicareR3,Arkansas,71833
familyPreMedicareR3,Arkansas,72044
familyPreMedicareR3,Arkansas,71652
familyPreMedicareR3,Arkansas,72003
familyPreMedicareR3,Arkansas,72824
familyPreMedicareR3,Arkansas,72711
familyPreMedicareR3,Arkansas,71721
familyPreMedicareR3,Arkansas,72721
familyPreMedicareR3,Arkansas,71801
familyPreMedicareR3,Arkansas,72619
familyPreMedicareR3,Arkansas,72005
familyPreMedicareR3,Arkansas,71901
familyPreMedicareR3,Arkansas,71725
familyPreMedicareR3,Arkansas,71701
familyPreMedicareR3,Arkansas,71655
familyPreMedicareR3,Arkansas,72311
familyPreMedicareR3,Arkansas,71722
familyPreMedicareR3,Arkansas,72841
familyPreMedicareR3,Arkansas,72701
familyPreMedicareR3,Arkansas,72027
familyPreMedicareR3,Arkansas,71823
familyPreMedicareR3,Arkansas,71643
familyPreMedicareR3,Arkansas,71631
familyPreMedicareR3,Arkansas,72513
familyPreMedicareR3,Arkansas,72006
familyPreMedicareR3,Arkansas,71635
familyPreMedicareR3,Arkansas,72057
familyPreMedicareR3,Arkansas,71834
familyPreMedicareR3,Arkansas,72624
familyPreMedicareR3,Arkansas,72601
familyPreMedicareR3,Arizona,85321
familyPreMedicareR3,Arizona,85530
familyPreMedicareR3,Arizona,85901
familyPreMedicareR3,Arizona,85001
familyPreMedicareR3,Arizona,85117
familyPreMedicareR3,Arizona,85931
familyPreMedicareR3,Arizona,85602
familyPreMedicareR3,Arizona,85920
familyPreMedicareR3,Arizona,85611
familyPreMedicareR3,Arizona,85324
familyPreMedicareR3,Arizona,85533
familyPreMedicareR3,Arizona,85135
familyPreMedicareR3,Arizona,85360
familyPreMedicareR3,Arizona,85333
familyPreMedicareR3,Arizona,85325
familyPreMedicareR3,California,93202
familyPreMedicareR3,California,95422
familyPreMedicareR3,California,95645
familyPreMedicareR3,California,95913
familyPreMedicareR3,California,91901
familyPreMedicareR3,California,95915
familyPreMedicareR3,California,95221
familyPreMedicareR3,California,95605
familyPreMedicareR3,California,91701
familyPreMedicareR3,California,90620
familyPreMedicareR3,California,95023
familyPreMedicareR3,California,96021
familyPreMedicareR3,California,94901
familyPreMedicareR3,California,93203
familyPreMedicareR3,California,92222
familyPreMedicareR3,California,95001
familyPreMedicareR3,California,95912
familyPreMedicareR3,California,95501
familyPreMedicareR3,California,94002
familyPreMedicareR3,California,95601
familyPreMedicareR3,California,95305
familyPreMedicareR3,California,96006
familyPreMedicareR3,California,92328
familyPreMedicareR3,California,90001
familyPreMedicareR3,California,95613
familyPreMedicareR3,California,95527
familyPreMedicareR3,California,93210
familyPreMedicareR3,California,95410
familyPreMedicareR3,California,95692
familyPreMedicareR3,California,95910
familyPreMedicareR3,California,93601
familyPreMedicareR3,California,93201
familyPreMedicareR3,California,94022
familyPreMedicareR3,California,95531
familyPreMedicareR3,California,93013
familyPreMedicareR3,California,94505
familyPreMedicareR3,California,96001
familyPreMedicareR3,California,94510
familyPreMedicareR3,California,96009
familyPreMedicareR3,California,91752
familyPreMedicareR3,California,93426
familyPreMedicareR3,California,94922
familyPreMedicareR3,California,94203
familyPreMedicareR3,California,91319
familyPreMedicareR3,California,95568
familyPreMedicareR3,California,95307
familyPreMedicareR3,California,95712
familyPreMedicareR3,California,93620
