endpoint,state,zipcode
familyTotalExpensesR3,Alaska,99546
familyTotalExpensesR3,Alaska,99689
familyTotalExpensesR3,Alaska,99840
familyTotalExpensesR3,Alaska,99929
familyTotalExpensesR3,Alaska,99801
familyTotalExpensesR3,Alaska,99918
familyTotalExpensesR3,Alaska,99901
familyTotalExpensesR3,Alaska,99554
familyTotalExpensesR3,Alaska,99731
familyTotalExpensesR3,Alaska,99704
familyTotalExpensesR3,Alaska,99555
familyTotalExpensesR3,Alaska,99727
familyTotalExpensesR3,Alaska,99830
familyTotalExpensesR3,Alaska,99545
familyTotalExpensesR3,Alaska,99623
familyTotalExpensesR3,Alaska,99721
familyTotalExpensesR3,Alaska,99556
familyTotalExpensesR3,Alaska,99820
familyTotalExpensesR3,Alaska,99835
familyTotalExpensesR3,Alaska,99558
familyTotalExpensesR3,Alaska,99701
familyTotalExpensesR3,Alaska,99548
familyTotalExpensesR3,Alaska,99613
familyTotalExpensesR3,Alaska,99827
familyTotalExpensesR3,Alaska,99566
familyTotalExpensesR3,Alaska,99553
familyTotalExpensesR3,Alaska,99550
familyTotalExpensesR3,Alaska,99659
familyTotalExpensesR3,Alaska,99501
familyTotalExpensesR3,Alabama,35111
familyTotalExpensesR3,Alabama,35072
familyTotalExpensesR3,Alabama,36029
familyTotalExpensesR3,Alabama,35082
familyTotalExpensesR3,Alabama,35034
familyTotalExpensesR3,Alabama,36061
familyTotalExpensesR3,Alabama,36005
familyTotalExpensesR3,Alabama,36015
familyTotalExpensesR3,Alabama,35441
familyTotalExpensesR3,Alabama,36904
familyTotalExpensesR3,Alabama,35010
familyTotalExpensesR3,Alabama,35443
familyTotalExpensesR3,Alabama,35016
familyTotalExpensesR3,Alabama,35014
familyTotalExpensesR3,Alabama,36261
familyTotalExpensesR3,Alabama,35618
familyTotalExpensesR3,Alabama,35610
familyTotalExpensesR3,Alabama,35542
familyTotalExpensesR3,Alabama,35038
familyTotalExpensesR3,Alabama,35013
familyTotalExpensesR3,Alabama,35959
familyTotalExpensesR3,Alabama,36003
familyTotalExpensesR3,Alabama,35611
familyTotalExpensesR3,Alabama,36435
familyTotalExpensesR3,Alabama,35459
familyTotalExpensesR3,Alabama,35540
familyTotalExpensesR3,Alabama,36854
familyTotalExpensesR3,Alabama,36801
familyTotalExpensesR3,Alabama,36013
familyTotalExpensesR3,Alabama,35019
familyTotalExpensesR3,Alabama,35045
familyTotalExpensesR3,Alabama,35961
familyTotalExpensesR3,Alabama,36401
familyTotalExpensesR3,Alabama,36032
familyTotalExpensesR3,Alabama,36756
familyTotalExpensesR3,Alabama,35901
familyTotalExpensesR3,Alabama,36020
familyTotalExpensesR3,Alabama,36507
familyTotalExpensesR3,Alabama,36301
familyTotalExpensesR3,Alabama,35741
familyTotalExpensesR3,Alabama,35616
familyTotalExpensesR3,Alabama,35740
familyTotalExpensesR3,Alabama,36425
familyTotalExpensesR3,Alabama,36009
familyTotalExpensesR3,Alabama,35543
familyTotalExpensesR3,Alabama,36201
familyTotalExpensesR3,Alabama,36263
familyTotalExpensesR3,Alabama,36426
familyTotalExpensesR3,Alabama,35544
familyTotalExpensesR3,Alabama,36311
familyTotalExpensesR3,Alabama,35601
familyTotalExpensesR3,Alabama,36851
familyTotalExpensesR3,Alabama,35571
familyTotalExpensesR3,Alabama,36732
familyTotalExpensesR3,Alabama,36513
familyTotalExpensesR3,Alabama,36436
familyTotalExpensesR3,Alabama,36313
familyTotalExpensesR3,Alabama,36016
familyTotalExpensesR3,Alabama,36505
familyTotalExpensesR3,Alabama,36323
familyTotalExpensesR3,Alabama,35442
familyTotalExpensesR3,Alabama,36701
familyTotalExpensesR3,Alabama,35004
familyTotalExpensesR3,Alabama,35007
familyTotalExpensesR3,Alabama,36310
familyTotalExpensesR3,Alabama,35005
familyTotalExpensesR3,Alabama,36028
familyTotalExpensesR3,Arkansas,72354
familyTotalExpensesR3,Arkansas,72820
familyTotalExpensesR3,Arkansas,72801
familyTotalExpensesR3,Arkansas,72002
familyTotalExpensesR3,Arkansas,71724
familyTotalExpensesR3,Arkansas,71740
familyTotalExpensesR3,Arkansas,71630
familyTotalExpensesR3,Arkansas,71929
familyTotalExpensesR3,Arkansas,72301
familyTotalExpensesR3,Arkansas,71932
familyTotalExpensesR3,Arkansas,72413
familyTotalExpensesR3,Arkansas,72017
familyTotalExpensesR3,Arkansas,71935
familyTotalExpensesR3,Arkansas,71820
familyTotalExpensesR3,Arkansas,71601
familyTotalExpensesR3,Arkansas,72611
familyTotalExpensesR3,Arkansas,72830
familyTotalExpensesR3,Arkansas,72324
familyTotalExpensesR3,Arkansas,71638
familyTotalExpensesR3,Arkansas,72051
familyTotalExpensesR3,Arkansas,72310
familyTotalExpensesR3,Arkansas,72636
familyTotalExpensesR3,Arkansas,72007
familyTotalExpensesR3,Arkansas,71922
familyTotalExpensesR3,Arkansas,72531
familyTotalExpensesR3,Arkansas,72013
familyTotalExpensesR3,Arkansas,72053
familyTotalExpensesR3,Arkansas,72322
familyTotalExpensesR3,Arkansas,72010
familyTotalExpensesR3,Arkansas,72422
familyTotalExpensesR3,Arkansas,72032
familyTotalExpensesR3,Arkansas,72001
familyTotalExpensesR3,Arkansas,72921
familyTotalExpensesR3,Arkansas,72826
familyTotalExpensesR3,Arkansas,72410
familyTotalExpensesR3,Arkansas,71744
familyTotalExpensesR3,Arkansas,72312
familyTotalExpensesR3,Arkansas,72482
familyTotalExpensesR3,Arkansas,72401
familyTotalExpensesR3,Arkansas,72512
familyTotalExpensesR3,Arkansas,71826
familyTotalExpensesR3,Arkansas,72412
familyTotalExpensesR3,Arkansas,72901
familyTotalExpensesR3,Arkansas,72021
familyTotalExpensesR3,Arkansas,72165
familyTotalExpensesR3,Arkansas,71833
familyTotalExpensesR3,Arkansas,72044
familyTotalExpensesR3,Arkansas,71652
familyTotalExpensesR3,Arkansas,72003
familyTotalExpensesR3,Arkansas,72824
familyTotalExpensesR3,Arkansas,72711
familyTotalExpensesR3,Arkansas,71721
familyTotalExpensesR3,Arkansas,72721
familyTotalExpensesR3,Arkansas,71801
familyTotalExpensesR3,Arkansas,72619
familyTotalExpensesR3,Arkansas,72005
familyTotalExpensesR3,Arkansas,71901
familyTotalExpensesR3,Arkansas,71725
familyTotalExpensesR3,Arkansas,71701
familyTotalExpensesR3,Arkansas,71655
familyTotalExpensesR3,Arkansas,72311
familyTotalExpensesR3,Arkansas,71722
familyTotalExpensesR3,Arkansas,72841
familyTotalExpensesR3,Arkansas,72701
familyTotalExpensesR3,Arkansas,72027
familyTotalExpensesR3,Arkansas,71823
familyTotalExpensesR3,Arkansas,71643
familyTotalExpensesR3,Arkansas,71631
familyTotalExpensesR3,Arkansas,72513
familyTotalExpensesR3,Arkansas,72006
familyTotalExpensesR3,Arkansas,71635
familyTotalExpensesR3,Arkansas,72057
familyTotalExpensesR3,Arkansas,71834
familyTotalExpensesR3,Arkansas,72624
familyTotalExpensesR3,Arkansas,72601
familyTotalExpensesR3,Arizona,85321
familyTotalExpensesR3,Arizona,85530
familyTotalExpensesR3,Arizona,85901
familyTotalExpensesR3,Arizona,85001
familyTotalExpensesR3,Arizona,85117
familyTotalExpensesR3,Arizona,85931
familyTotalExpensesR3,Arizona,85602
familyTotalExpensesR3,Arizona,85920
familyTotalExpensesR3,Arizona,85611
familyTotalExpensesR3,Arizona,85324
familyTotalExpensesR3,Arizona,85533
familyTotalExpensesR3,Arizona,85135
familyTotalExpensesR3,Arizona,85360
familyTotalExpensesR3,Arizona,85333
familyTotalExpensesR3,Arizona,85325
familyTotalExpensesR3,California,93202
familyTotalExpensesR3,California,95422
familyTotalExpensesR3,California,95645
familyTotalExpensesR3,California,95913
familyTotalExpensesR3,California,91901
familyTotalExpensesR3,California,95915
familyTotalExpensesR3,California,95221
familyTotalExpensesR3,California,95605
familyTotalExpensesR3,California,91701
familyTotalExpensesR3,California,90620
familyTotalExpensesR3,California,95023
familyTotalExpensesR3,California,96021
familyTotalExpensesR3,California,94901
familyTotalExpensesR3,California,93203
familyTotalExpensesR3,California,92222
familyTotalExpensesR3,California,95001
familyTotalExpensesR3,California,95912
familyTotalExpensesR3,California,95501
familyTotalExpensesR3,California,94002
familyTotalExpensesR3,California,95601
familyTotalExpensesR3,California,95305
familyTotalExpensesR3,California,96006
familyTotalExpensesR3,California,92328
familyTotalExpensesR3,California,90001
familyTotalExpensesR3,California,95613
familyTotalExpensesR3,California,95527
familyTotalExpensesR3,California,93210
familyTotalExpensesR3,California,95410
familyTotalExpensesR3,California,95692
familyTotalExpensesR3,California,95910
familyTotalExpensesR3,California,93601
familyTotalExpensesR3,California,93201
familyTotalExpensesR3,California,94022
familyTotalExpensesR3,California,95531
familyTotalExpensesR3,California,93013
familyTotalExpensesR3,California,94505
familyTotalExpensesR3,California,96001
familyTotalExpensesR3,California,94510
familyTotalExpensesR3,California,96009
familyTotalExpensesR3,California,91752
familyTotalExpensesR3,California,93426
familyTotalExpensesR3,California,94922
familyTotalExpensesR3,California,94203
familyTotalExpensesR3,California,91319
familyTotalExpensesR3,California,95568
familyTotalExpensesR3,California,95307
familyTotalExpensesR3,California,95712
familyTotalExpensesR3,California,93620
familyTotalExpensesR3,California,95646
familyTotalExpensesR3,California,93512
familyTotalExpensesR3,California,94503
familyTotalExpensesR3,California,95914
familyTotalExpensesR3,California,93623
