endpoint,state,zipcode
individualTotalExpensesR3,Alaska,99546
individualTotalExpensesR3,Alaska,99689
individualTotalExpensesR3,Alaska,99840
individualTotalExpensesR3,Alaska,99929
individualTotalExpensesR3,Alaska,99801
individualTotalExpensesR3,Alaska,99918
individualTotalExpensesR3,Alaska,99901
individualTotalExpensesR3,Alaska,99554
individualTotalExpensesR3,Alaska,99731
individualTotalExpensesR3,Alaska,99704
individualTotalExpensesR3,Alaska,99555
individualTotalExpensesR3,Alaska,99727
individualTotalExpensesR3,Alaska,99830
individualTotalExpensesR3,Alaska,99545
individualTotalExpensesR3,Alaska,99623
individualTotalExpensesR3,Alaska,99721
individualTotalExpensesR3,Alaska,99556
individualTotalExpensesR3,Alaska,99820
individualTotalExpensesR3,Alaska,99835
individualTotalExpensesR3,Alaska,99558
individualTotalExpensesR3,Alaska,99701
individualTotalExpensesR3,Alaska,99548
individualTotalExpensesR3,Alaska,99613
individualTotalExpensesR3,Alaska,99827
individualTotalExpensesR3,Alaska,99566
individualTotalExpensesR3,Alaska,99553
individualTotalExpensesR3,Alaska,99550
individualTotalExpensesR3,Alaska,99659
individualTotalExpensesR3,Alaska,99501
individualTotalExpensesR3,Alabama,35111
individualTotalExpensesR3,Alabama,35072
individualTotalExpensesR3,Alabama,36029
individualTotalExpensesR3,Alabama,35082
individualTotalExpensesR3,Alabama,35034
individualTotalExpensesR3,Alabama,36061
individualTotalExpensesR3,Alabama,36005
individualTotalExpensesR3,Alabama,36015
individualTotalExpensesR3,Alabama,35441
individualTotalExpensesR3,Alabama,36904
individualTotalExpensesR3,Alabama,35010
individualTotalExpensesR3,Alabama,35443
individualTotalExpensesR3,Alabama,35016
individualTotalExpensesR3,Alabama,35014
individualTotalExpensesR3,Alabama,36261
individualTotalExpensesR3,Alabama,35618
individualTotalExpensesR3,Alabama,35610
individualTotalExpensesR3,Alabama,35542
individualTotalExpensesR3,Alabama,35038
individualTotalExpensesR3,Alabama,35013
individualTotalExpensesR3,Alabama,35959
individualTotalExpensesR3,Alabama,36003
individualTotalExpensesR3,Alabama,35611
individualTotalExpensesR3,Alabama,36435
individualTotalExpensesR3,Alabama,35459
individualTotalExpensesR3,Alabama,35540
individualTotalExpensesR3,Alabama,36854
individualTotalExpensesR3,Alabama,36801
individualTotalExpensesR3,Alabama,36013
individualTotalExpensesR3,Alabama,35019
individualTotalExpensesR3,Alabama,35045
individualTotalExpensesR3,Alabama,35961
individualTotalExpensesR3,Alabama,36401
individualTotalExpensesR3,Alabama,36032
individualTotalExpensesR3,Alabama,36756
individualTotalExpensesR3,Alabama,35901
individualTotalExpensesR3,Alabama,36020
individualTotalExpensesR3,Alabama,36507
individualTotalExpensesR3,Alabama,36301
individualTotalExpensesR3,Alabama,35741
individualTotalExpensesR3,Alabama,35616
individualTotalExpensesR3,Alabama,35740
individualTotalExpensesR3,Alabama,36425
individualTotalExpensesR3,Alabama,36009
individualTotalExpensesR3,Alabama,35543
individualTotalExpensesR3,Alabama,36201
individualTotalExpensesR3,Alabama,36263
individualTotalExpensesR3,Alabama,36426
individualTotalExpensesR3,Alabama,35544
individualTotalExpensesR3,Alabama,36311
individualTotalExpensesR3,Alabama,35601
individualTotalExpensesR3,Alabama,36851
individualTotalExpensesR3,Alabama,35571
individualTotalExpensesR3,Alabama,36732
individualTotalExpensesR3,Alabama,36513
individualTotalExpensesR3,Alabama,36436
individualTotalExpensesR3,Alabama,36313
individualTotalExpensesR3,Alabama,36016
individualTotalExpensesR3,Alabama,36505
individualTotalExpensesR3,Alabama,36323
individualTotalExpensesR3,Alabama,35442
individualTotalExpensesR3,Alabama,36701
individualTotalExpensesR3,Alabama,35004
individualTotalExpensesR3,Alabama,35007
individualTotalExpensesR3,Alabama,36310
individualTotalExpensesR3,Alabama,35005
individualTotalExpensesR3,Alabama,36028
individualTotalExpensesR3,Arkansas,72354
individualTotalExpensesR3,Arkansas,72820
individualTotalExpensesR3,Arkansas,72801
individualTotalExpensesR3,Arkansas,72002
individualTotalExpensesR3,Arkansas,71724
individualTotalExpensesR3,Arkansas,71740
individualTotalExpensesR3,Arkansas,71630
individualTotalExpensesR3,Arkansas,71929
individualTotalExpensesR3,Arkansas,72301
individualTotalExpensesR3,Arkansas,71932
individualTotalExpensesR3,Arkansas,72413
individualTotalExpensesR3,Arkansas,72017
individualTotalExpensesR3,Arkansas,71935
individualTotalExpensesR3,Arkansas,71820
individualTotalExpensesR3,Arkansas,71601
individualTotalExpensesR3,Arkansas,72611
individualTotalExpensesR3,Arkansas,72830
individualTotalExpensesR3,Arkansas,72324
individualTotalExpensesR3,Arkansas,71638
individualTotalExpensesR3,Arkansas,72051
individualTotalExpensesR3,Arkansas,72310
individualTotalExpensesR3,Arkansas,72636
individualTotalExpensesR3,Arkansas,72007
individualTotalExpensesR3,Arkansas,71922
individualTotalExpensesR3,Arkansas,72531
individualTotalExpensesR3,Arkansas,72013
individualTotalExpensesR3,Arkansas,72053
individualTotalExpensesR3,Arkansas,72322
individualTotalExpensesR3,Arkansas,72010
individualTotalExpensesR3,Arkansas,72422
individualTotalExpensesR3,Arkansas,72032
individualTotalExpensesR3,Arkansas,72001
individualTotalExpensesR3,Arkansas,72921
individualTotalExpensesR3,Arkansas,72826
individualTotalExpensesR3,Arkansas,72410
individualTotalExpensesR3,Arkansas,71744
individualTotalExpensesR3,Arkansas,72312
individualTotalExpensesR3,Arkansas,72482
individualTotalExpensesR3,Arkansas,72401
individualTotalExpensesR3,Arkansas,72512
individualTotalExpensesR3,Arkansas,71826
individualTotalExpensesR3,Arkansas,72412
individualTotalExpensesR3,Arkansas,72901
individualTotalExpensesR3,Arkansas,72021
individualTotalExpensesR3,Arkansas,72165
individualTotalExpensesR3,Arkansas,71833
individualTotalExpensesR3,Arkansas,72044
individualTotalExpensesR3,Arkansas,71652
individualTotalExpensesR3,Arkansas,72003
individualTotalExpensesR3,Arkansas,72824
individualTotalExpensesR3,Arkansas,72711
individualTotalExpensesR3,Arkansas,71721
individualTotalExpensesR3,Arkansas,72721
individualTotalExpensesR3,Arkansas,71801
individualTotalExpensesR3,Arkansas,72619
individualTotalExpensesR3,Arkansas,72005
individualTotalExpensesR3,Arkansas,71901
individualTotalExpensesR3,Arkansas,71725
individualTotalExpensesR3,Arkansas,71701
individualTotalExpensesR3,Arkansas,71655
individualTotalExpensesR3,Arkansas,72311
individualTotalExpensesR3,Arkansas,71722
individualTotalExpensesR3,Arkansas,72841
individualTotalExpensesR3,Arkansas,72701
individualTotalExpensesR3,Arkansas,72027
individualTotalExpensesR3,Arkansas,71823
individualTotalExpensesR3,Arkansas,71643
individualTotalExpensesR3,Arkansas,71631
individualTotalExpensesR3,Arkansas,72513
individualTotalExpensesR3,Arkansas,72006
individualTotalExpensesR3,Arkansas,71635
individualTotalExpensesR3,Arkansas,72057
individualTotalExpensesR3,Arkansas,71834
individualTotalExpensesR3,Arkansas,72624
individualTotalExpensesR3,Arkansas,72601
individualTotalExpensesR3,Arizona,85321
individualTotalExpensesR3,Arizona,85530
individualTotalExpensesR3,Arizona,85901
individualTotalExpensesR3,Arizona,85001
individualTotalExpensesR3,Arizona,85117
individualTotalExpensesR3,Arizona,85931
individualTotalExpensesR3,Arizona,85602
individualTotalExpensesR3,Arizona,85920
individualTotalExpensesR3,Arizona,85611
individualTotalExpensesR3,Arizona,85324
individualTotalExpensesR3,Arizona,85533
individualTotalExpensesR3,Arizona,85135
individualTotalExpensesR3,Arizona,85360
individualTotalExpensesR3,Arizona,85333
individualTotalExpensesR3,Arizona,85325
individualTotalExpensesR3,California,93202
individualTotalExpensesR3,California,95422
individualTotalExpensesR3,California,95645
individualTotalExpensesR3,California,95913
individualTotalExpensesR3,California,91901
individualTotalExpensesR3,California,95915
individualTotalExpensesR3,California,95221
individualTotalExpensesR3,California,95605
individualTotalExpensesR3,California,91701
individualTotalExpensesR3,California,90620
individualTotalExpensesR3,California,95023
individualTotalExpensesR3,California,96021
individualTotalExpensesR3,California,94901
individualTotalExpensesR3,California,93203
individualTotalExpensesR3,California,92222
individualTotalExpensesR3,California,95001
individualTotalExpensesR3,California,95912
individualTotalExpensesR3,California,95501
individualTotalExpensesR3,California,94002
individualTotalExpensesR3,California,95601
individualTotalExpensesR3,California,95305
individualTotalExpensesR3,California,96006
